# t,U
20.000,   16.500
60.000,   14.000
97.500,   12.500
135.000,   10.500
175.000,   9.000
212.500,   8.000
252.500,   6.500
290.000,   5.750
330.000,   5.000
367.500,   4.000
405.000,   3.500
442.500,   3.000
480.000,   2.800
520.000,   2.400
557.500,   2.000
595.000,   1.800
632.500,   1.600
670.000,   1.400
707.500,   1.200
745.000,   1.000
785.000,   0.850
822.500,   0.750
860.000,   0.650
897.500,   0.550
935.000,   0.500
972.500,   0.400
1010.000,   0.350
1047.500,   0.300
1085.000,   0.260
1125.000,   0.240
1162.500,   0.200
1200.000,   0.160
1237.500,   0.140
1275.000,   0.120
1312.500,   0.080
